SubjectID,text
1,
2,"okay, so I was dreaming about like video games that my work and I have been working on, it's like a beta test and stuff that I was really working hard on with them before I got into this accident and then like, I'm in an accident, I can't get on my computer phone or talk with any of them and I'm still having dreams of like being inside of the game, trying to like fix things and play it out and like, just see what's going on with it and like, I can't do it because I'm obviously in a dream, but like, I wake up and then I'll go back to sleep and I will still continue and was having, like, anxiety about it, I think at that time not being able to work on things that I care about that other people are like working on with me as well, so it's not just me, it's just, I don't know, I feel like the team work of it, not being able to be done and me not being there just was creating anxiety in general when I think about it.  and..."
3,"Family. I was the age of 46. They all came in the room. I asked them why they were there. He said he was here for your 46th birthday. It was unpleasant because all family members were passed away. It was visual where I can see everybody's face, somebody's chasing me, cars in water, falling off of a bridge, somebody chasing."
4,
6,
7,
8,"let's see, I was dreaming of my wedding with my current boyfriend, silly as that sounds. Uh, We were walking down the aisle about to say, I do and he's about like three years younger than me and everyone is all dressed up. It's a huge Halloween wedding and all of a sudden another girl walks down the aisle and she tells me that she and my fiancee slept together. completely, utterly broke my heart and I pulled out an axe  out of nowhere and I don't know if it was hidden in my dress or just magically in the stars for me to grab and I just cut her head off. and it was, it was angry, I was angry, can't you can't really blame me for that. And then I just started beating up my boyfriend after that. It was like I woke up and everything seemed normal. I don't know how, but it was just calm as can be. And, I just, I've been cheated on before. So that's probably why I raged so much, but there's nothing I could do to help it. Like there was no stop, There was no intermedian. Um and I honestly, I woke up a little bit in tears because I don't like to be that person and I would hope that my significant other would never cheat on me because I've walked down the aisle a couple of times and that's exactly what the hell's happened minus the axe part, but it's it was a little gruesome and a couple of those times will make me cry, but afterwards I remember that it's not real, It hasn't happened. And, you know, I had to stop letting the past, my past experiences creep into my current dreams with my current relations. so. "
9,
10,
11,
12,"The dream was about me falling down the stairs over and over. It was just me in the dream and I didn't see myself die, but it just felt like I did."
13,
14,
15,
16,
17,
18,
19," Yeah so the setting of the dream it was for me because I was in an accident before but it was a different type of accident. This one was more powerful. Mhm. no one else was in the dream but me, I was the only driver, nobody was in my car. I was just driving and somebody hit me and it was like a big old impact and I woke up.  but I had that same dream back to back the same week. It was unpleasant because I was scared I was in an accident before so it kind of felt real and I woke up I couldn't go back to sleep. The dream felt like real. Like. I was in that car when it got hit the dream was real."
20,
21,
22,"Well basically I had an accident and it made me think about when my sister got into a accident. Um She uh died probably about six years due to her accident incident like me with a car. So um family really like kind of scared me, so made me have like visuals of that. So it's really unpleasant. It's really kind of scary because they brought back memories of it and again, I survived and she didn't. So that was just traumatic to me."
23,
24,
25,"um we was in the car. Me and two other people. And uh we was on the freeway. we ended up coming up on the exit and a car pulled up on the side of us and started firing inside the vehicle. Mm hmm. I felt kind of like. Worried.  And um. All I could remember is like smelling like just the blood and like feeling like. Just feeling my like c ertain parts of my body like go numb, stuff like that."
26,
27," Okay. Um It happened to my dog ""Princess Adore"". Um she was vomiting. She wasn't walking straight her tail was down. Um and she, you know if I touched her, she cried, she whined, she was hurting and I was afraid that I might actually lose her. And I spent, I stayed up for 36 hours going to the emergency rooms,  they  were full um vets, phone calls. I finally got in contact with the vet and they figured out what was wrong."
28,"The setting of the dream was actually a reality I just experienced where I was just assaulted. Um The characters in the dream were me and the the person that assaulted me. Um, Yes, my feelings, it was very unpleasant and sensory experiences I can remember is falling, and being slapped down in the middle of the street."
29,
30,
31,"It was Ed my uncle, who was driving down the street, East Grand Boulevard. I looked at my phone, look at the text my friend sent me. He said, hey, where ya'll at? I'm on the boulevard at the um house. I looked up at it. I was gonna type where we was at, then all the sudden, we was struck by a force behind us. It sent us right. I didn't see much. Everything was pretty much white. After a while I realized we hit a pole. My nose was messed up and bleeding. My leg was cut. My uncle got out of the car. He like confronted the lady. Said all right. What's going on? Going 70 down East Grand Boulevard? What's wrong with you? And I was just staring around. All I seen was people, fire department. Everybody was just staring my arms just bloody and I was thinking, it's how it's gonna end here. I always wake up there. "
